variant,question,expected_no_answer,question_type,difficulty,knowledge_scope,crag_action,hit,mrr,recall,precision,correctness,faithfulness,relevance,fallback_appropriate,hallucination,issue_type,summary
"SYSTEM","北航2019年博士研究生招生中，全日制与非全日制计划人数分别是多少？",false,"procedure","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到招生计划数据"
"SYSTEM","北航在研究生国际交流方面提供了哪些经费支持项目？请列举至少三项。",false,"policy","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未返回任何相关经费项目"
"SYSTEM","考生报名前应通过什么渠道了解北航研究生招生政策和流程？",false,"contact","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,4,false,true,"generation","回答编造了不存在的官网链接和域名"
"SYSTEM","北京航空航天大学国际创新研究院的统一社会信用代码是多少？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","应答错误，实际有答案但未检索到"
"SYSTEM","给北航国新院开具发票时，应填写的开户银行和银行账号分别是什么？",false,"procedure","medium","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到开户信息"
"SYSTEM","团体辅导中‘我的资源盾牌’环节要求参与者在盾牌上记录哪8个问题的答案？",false,"procedure","medium","psy_safety_kb","ANSWER",1.0,1.0,1.0,0.25,1,5,4,false,false,"retrieval","检索缺失，未找到8个问题原文"
"SYSTEM","‘我的资源盾牌’活动结束后，带领者强调这些资源的核心作用是什么？",false,"policy","medium","psy_safety_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","检索失败，未找到相关活动信息"
"SYSTEM","国家建设高水平大学公派研究生项目回国手续办理需要多久？",false,"time","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,3,false,false,"retrieval","应答即办，却称无信息"
"SYSTEM","马骏涛申请临时困难补助的理由中，提到其家庭面临哪些具体经济压力？",false,"eligibility","medium","affairs_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,4,3,5,true,true,"generation","编造了‘每月化疗费用至少7000元’和‘父亲因肝癌提前退休’等证据未提及内容"
"SYSTEM","学校同意给予马骏涛临时困难补助的依据是什么管理办法的哪一条款？",false,"policy","easy","affairs_kb","REFINE",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关管理办法"
"SYSTEM","根据核查情况，马骏涛的家庭困难是否符合临时困难补助的申请条件？为什么？",false,"eligibility","medium","affairs_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,3,2,4,false,true,"generation","回答错误虚构父亲患肝癌，证据仅提父母残疾和外公胃癌"
"SYSTEM","本科生中英文成绩单翻译申请，哪些年级的学生必须通过线上系统申请，哪些可以自助打印？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","检索失败，未找到相关答案"
"SYSTEM","申请中英文成绩或证书翻译是否收费？办理形式是什么？",false,"policy","easy","campus_life_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","检索未覆盖问题，应答错误"
"SYSTEM","提交证书翻译申请时，对上传扫描件的分辨率有什么要求？",false,"procedure","easy","campus_life_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答错误，标准答案明确存在"
"SYSTEM","进入国新院图书馆阅览室需要什么证件或方式？",false,"procedure","easy","campus_life_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,5,5,5,true,false,"none","回答完全符合证据，准确完整"
"SYSTEM","在图书馆阅览时，对携带书刊数量有建议吗？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答编造具体册数且无证据支持"
"SYSTEM","如果在阅览区接打电话，图书馆有什么具体要求？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,4,false,true,"generation","回答编造细节，证据未提具体要求"
"SYSTEM","在国新院图书馆使用电子存包柜时，如果忘记取物密码该怎么办？",false,"procedure","easy","campus_life_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答准确、忠于证据、直接解决问题"
"SYSTEM","国新院图书馆电子存包柜是否允许存放笔记本电脑？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","检索失败，未找到存包柜规定"
"SYSTEM","国家建设高水平大学公派研究生项目出国手续办理中，图书馆和公寓管理部门分别要确认什么？",false,"procedure","medium","campus_life_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","检索失败，未找到关键信息"
"SYSTEM","在图书馆阅览区使用手机有哪些具体规定？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,3,false,true,"generation","回答编造规定，证据中无手机使用相关内容"
"SYSTEM","读者在图书馆自选书刊阅览时，对取阅数量有何建议？",false,"procedure","easy","affairs_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关证据"
"SYSTEM","北航图书馆对电子资源批量下载行为有哪些具体限制？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，应答错误拒答"
