variant,question,expected_no_answer,question_type,difficulty,knowledge_scope,crag_action,hit,mrr,recall,precision,correctness,faithfulness,relevance,fallback_appropriate,hallucination,issue_type,summary
"BASELINE_A","2021年春季学期新开设的国情类课程中，哪些课程由国际学院开设？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","检索失败导致错误拒答"
"BASELINE_B","2021年春季学期新开设的国情类课程中，哪些课程由国际学院开设？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,5,false,true,"generation","编造了两门‘中国概况’课程信息"
"SYSTEM","2021年春季学期新开设的国情类课程中，哪些课程由国际学院开设？",false,"procedure","medium","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,1,3,4,false,true,"generation","回答错误否认国际学院开课，与标准答案矛盾"
"BASELINE_A","课程‘中国政府与政治’的课程代码和学分分别是多少？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"fallback","应答但错误拒答"
"BASELINE_B","课程‘中国政府与政治’的课程代码和学分分别是多少？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全正确且忠于证据"
"SYSTEM","课程‘中国政府与政治’的课程代码和学分分别是多少？",false,"material","easy","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答完全正确且忠于证据"
"BASELINE_A","人文社会科学学院在2020年秋季已备案的国情类课程中，有哪些课程名称包含‘中国’二字？",false,"policy","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","人文社会科学学院在2020年秋季已备案的国情类课程中，有哪些课程名称包含‘中国’二字？",false,"policy","medium","academic_kb","ANSWER",1.0,0.3333333333333333,1.0,0.2,3,2,5,false,true,"generation","漏答多门课程，且虚构‘中国哲学概论’等课程备案信息"
"SYSTEM","人文社会科学学院在2020年秋季已备案的国情类课程中，有哪些课程名称包含‘中国’二字？",false,"policy","medium","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,3,2,5,false,true,"generation","编造多门课程，证据未支持"
"BASELINE_A","北京航空航天大学是哪一年成立的？属于哪个部委主管？",false,"material","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,5,3,5,true,true,"generation","答案正确但编造共建信息"
"BASELINE_B","北京航空航天大学是哪一年成立的？属于哪个部委主管？",false,"material","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败导致错误拒答"
"SYSTEM","北京航空航天大学是哪一年成立的？属于哪个部委主管？",false,"material","easy","integrated_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,4,5,true,false,"none","回答准确，但部委归属未见于证据"
"BASELINE_A","北航2019年博士研究生招生中，全日制与非全日制计划人数分别是多少？",false,"procedure","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答但未检索到证据"
